"Google Analytics Verifier","Google Analytics Verifier"
"General","Ogólne"
"Verification Code","Kod weryfikacyjny"
"Lizard Media Google Analytics Verifier","Lizard Media Google Analytics Verifier"
"Any number of verification codes can be pasted. Everything will be included in the head tag","Any number of verification codes can be pasted. Everything will be included in the head tag"
"File content","Zawartość pliku"
"File name","Nazwa pliku"
"Verification files","Pliki weryfikacyjne"
"Verification file","Plik weryfikacyjny"
"File name indicates the name of the file to put on the server, e.g. putting ""google853759739573.html"" will make the content available at ""/google853759739573.html"" and File content is what will be displayed after accessing the URL","Nazwa pliku wskazuje nazwę pliku, który powinien zostać przesłany na serwer, np. wpisanie ""google853759739573.html"" spowoduje, że zawartość pola Zawartość pliku będzie dostępna pod adresem ""/google853759739573.html"""
"Requested verification file was not found","Żądany plik weryfikacyjny nie został znaleziony"